Benchmark,n,sparsity,Mode,Cnt,Score,Error,Units
MatrixMultiplication.MatrixMultiplicationNaive,128,0,avgt,5,1.386,0.020,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,128,25,avgt,5,1.389,0.040,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,128,50,avgt,5,1.383,0.005,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,128,75,avgt,5,1.380,0.008,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,128,90,avgt,5,1.469,0.373,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,512,0,avgt,5,208.191,117.408,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,512,25,avgt,5,229.637,163.254,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,512,50,avgt,5,293.256,127.346,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,512,75,avgt,5,193.815,26.717,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,512,90,avgt,5,187.801,28.489,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,1024,0,avgt,5,7382.311,6346.769,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,1024,25,avgt,5,5992.030,3539.692,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,1024,50,avgt,5,4022.573,4732.688,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,1024,75,avgt,5,3936.809,3582.904,ms/op
MatrixMultiplication.MatrixMultiplicationNaive,1024,90,avgt,5,3310.334,1225.181,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,128,0,avgt,5,61.977,0.473,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,128,25,avgt,5,45.027,0.495,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,128,50,avgt,5,22.892,0.324,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,128,75,avgt,5,6.430,0.090,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,128,90,avgt,5,1.228,0.012,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,512,0,avgt,5,5829.285,53.247,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,512,25,avgt,5,3724.120,46.503,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,512,50,avgt,5,1936.641,94.009,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,512,75,avgt,5,561.981,41.735,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,512,90,avgt,5,102.636,1.950,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,1024,0,avgt,5,51497.052,998.272,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,1024,25,avgt,5,40530.309,241.948,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,1024,50,avgt,5,19692.209,400.019,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,1024,75,avgt,5,5464.990,184.363,ms/op
MatrixMultiplication.MatrixMultiplicationSparse,1024,90,avgt,5,1037.104,35.406,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,128,0,avgt,5,1.852,0.024,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,128,25,avgt,5,1.852,0.007,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,128,50,avgt,5,1.852,0.016,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,128,75,avgt,5,1.855,0.010,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,128,90,avgt,5,1.860,0.018,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,512,0,avgt,5,103.363,0.933,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,512,25,avgt,5,95.991,0.891,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,512,50,avgt,5,102.817,0.762,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,512,75,avgt,5,102.974,1.111,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,512,90,avgt,5,103.019,0.701,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,1024,0,avgt,5,798.468,14.732,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,1024,25,avgt,5,779.862,17.680,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,1024,50,avgt,5,764.554,14.934,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,1024,75,avgt,5,750.372,3.681,ms/op
MatrixMultiplication.MatrixMultiplicationStrassenOptimized,1024,90,avgt,5,744.611,11.319,ms/op
