"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: n"
"matrix.MatrixBenchmark.naive","avgt",1,30,"1,416588","0,026267","ms/op",128
"matrix.MatrixBenchmark.naive:gc.alloc.rate","avgt",1,30,"90,038732","1,650482","MB/sec",128
"matrix.MatrixBenchmark.naive:gc.alloc.rate.norm","avgt",1,30,"133648,983730","0,018863","B/op",128
"matrix.MatrixBenchmark.naive:gc.count","avgt",1,30,"187,000000",NaN,"counts",128
"matrix.MatrixBenchmark.naive:gc.time","avgt",1,30,"189,000000",NaN,"ms",128
"matrix.MatrixBenchmark.naive","avgt",1,30,"5,817758","0,122266","ms/op",192
"matrix.MatrixBenchmark.naive:gc.alloc.rate","avgt",1,30,"49,023040","1,056423","MB/sec",192
"matrix.MatrixBenchmark.naive:gc.alloc.rate.norm","avgt",1,30,"298772,028432","0,083746","B/op",192
"matrix.MatrixBenchmark.naive:gc.count","avgt",1,30,"100,000000",NaN,"counts",192
"matrix.MatrixBenchmark.naive:gc.time","avgt",1,30,"105,000000",NaN,"ms",192
"matrix.MatrixBenchmark.naive","avgt",1,30,"60,887755","1,246354","ms/op",384
"matrix.MatrixBenchmark.naive:gc.alloc.rate","avgt",1,30,"18,613959","0,375207","MB/sec",384
"matrix.MatrixBenchmark.naive:gc.alloc.rate.norm","avgt",1,30,"1187385,975759","0,855933","B/op",384
"matrix.MatrixBenchmark.naive:gc.count","avgt",1,30,"39,000000",NaN,"counts",384
"matrix.MatrixBenchmark.naive:gc.time","avgt",1,30,"47,000000",NaN,"ms",384
"matrix.MatrixBenchmark.naive","avgt",1,30,"146,713525","1,551196","ms/op",512
"matrix.MatrixBenchmark.naive:gc.alloc.rate","avgt",1,30,"13,702259","0,143212","MB/sec",512
"matrix.MatrixBenchmark.naive:gc.alloc.rate.norm","avgt",1,30,"2107508,747960","1,114683","B/op",512
"matrix.MatrixBenchmark.naive:gc.count","avgt",1,30,"29,000000",NaN,"counts",512
"matrix.MatrixBenchmark.naive:gc.time","avgt",1,30,"35,000000",NaN,"ms",512
"matrix.MatrixBenchmark.naive","avgt",1,30,"3454,443871","133,403787","ms/op",1024
"matrix.MatrixBenchmark.naive:gc.alloc.rate","avgt",1,30,"2,329379","0,087728","MB/sec",1024
"matrix.MatrixBenchmark.naive:gc.alloc.rate.norm","avgt",1,30,"8411203,911111","182,602154","B/op",1024
"matrix.MatrixBenchmark.naive:gc.count","avgt",1,30,"4,000000",NaN,"counts",1024
"matrix.MatrixBenchmark.naive:gc.time","avgt",1,30,"7,000000",NaN,"ms",1024
"matrix.MatrixBenchmark.parallel","avgt",1,30,"0,486393","0,008270","ms/op",128
"matrix.MatrixBenchmark.parallel:gc.alloc.rate","avgt",1,30,"524,955514","9,037253","MB/sec",128
"matrix.MatrixBenchmark.parallel:gc.alloc.rate.norm","avgt",1,30,"267574,325301","0,470002","B/op",128
"matrix.MatrixBenchmark.parallel:gc.count","avgt",1,30,"1082,000000",NaN,"counts",128
"matrix.MatrixBenchmark.parallel:gc.time","avgt",1,30,"675,000000",NaN,"ms",128
"matrix.MatrixBenchmark.parallel","avgt",1,30,"0,940076","0,003680","ms/op",192
"matrix.MatrixBenchmark.parallel:gc.alloc.rate","avgt",1,30,"606,737444","2,337699","MB/sec",192
"matrix.MatrixBenchmark.parallel:gc.alloc.rate.norm","avgt",1,30,"598080,758358","17,690497","B/op",192
"matrix.MatrixBenchmark.parallel:gc.count","avgt",1,30,"1110,000000",NaN,"counts",192
"matrix.MatrixBenchmark.parallel:gc.time","avgt",1,30,"739,000000",NaN,"ms",192
"matrix.MatrixBenchmark.parallel","avgt",1,30,"7,562066","0,018864","ms/op",384
"matrix.MatrixBenchmark.parallel:gc.alloc.rate","avgt",1,30,"299,607786","0,746306","MB/sec",384
"matrix.MatrixBenchmark.parallel:gc.alloc.rate.norm","avgt",1,30,"2375748,142121","3,257817","B/op",384
"matrix.MatrixBenchmark.parallel:gc.count","avgt",1,30,"620,000000",NaN,"counts",384
"matrix.MatrixBenchmark.parallel:gc.time","avgt",1,30,"628,000000",NaN,"ms",384
"matrix.MatrixBenchmark.parallel","avgt",1,30,"17,501921","0,038625","ms/op",512
"matrix.MatrixBenchmark.parallel:gc.alloc.rate","avgt",1,30,"229,718216","0,505326","MB/sec",512
"matrix.MatrixBenchmark.parallel:gc.alloc.rate.norm","avgt",1,30,"4215898,623732","2,950861","B/op",512
"matrix.MatrixBenchmark.parallel:gc.count","avgt",1,30,"477,000000",NaN,"counts",512
"matrix.MatrixBenchmark.parallel:gc.time","avgt",1,30,"582,000000",NaN,"ms",512
"matrix.MatrixBenchmark.parallel","avgt",1,30,"122,346606","0,281144","ms/op",1024
"matrix.MatrixBenchmark.parallel:gc.alloc.rate","avgt",1,30,"131,109691","0,301629","MB/sec",1024
"matrix.MatrixBenchmark.parallel:gc.alloc.rate.norm","avgt",1,30,"16820282,008424","4,539770","B/op",1024
"matrix.MatrixBenchmark.parallel:gc.count","avgt",1,30,"273,000000",NaN,"counts",1024
"matrix.MatrixBenchmark.parallel:gc.time","avgt",1,30,"263,000000",NaN,"ms",1024
"matrix.MatrixBenchmark.vectorized","avgt",1,30,"0,523762","0,004859","ms/op",128
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate","avgt",1,30,"486,770667","4,446894","MB/sec",128
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate.norm","avgt",1,30,"267296,363744","0,003773","B/op",128
"matrix.MatrixBenchmark.vectorized:gc.count","avgt",1,30,"695,000000",NaN,"counts",128
"matrix.MatrixBenchmark.vectorized:gc.time","avgt",1,30,"743,000000",NaN,"ms",128
"matrix.MatrixBenchmark.vectorized","avgt",1,30,"1,609905","0,009100","ms/op",192
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate","avgt",1,30,"353,983058","1,970018","MB/sec",192
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate.norm","avgt",1,30,"597537,117199","0,006468","B/op",192
"matrix.MatrixBenchmark.vectorized:gc.count","avgt",1,30,"730,000000",NaN,"counts",192
"matrix.MatrixBenchmark.vectorized:gc.time","avgt",1,30,"823,000000",NaN,"ms",192
"matrix.MatrixBenchmark.vectorized","avgt",1,30,"13,071243","0,075361","ms/op",384
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate","avgt",1,30,"173,264787","1,011159","MB/sec",384
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate.norm","avgt",1,30,"2374697,036580","0,056399","B/op",384
"matrix.MatrixBenchmark.vectorized:gc.count","avgt",1,30,"286,000000",NaN,"counts",384
"matrix.MatrixBenchmark.vectorized:gc.time","avgt",1,30,"367,000000",NaN,"ms",384
"matrix.MatrixBenchmark.vectorized","avgt",1,30,"30,254621","0,119934","ms/op",512
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate","avgt",1,30,"132,859147","0,520551","MB/sec",512
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate.norm","avgt",1,30,"4214836,908073","0,088735","B/op",512
"matrix.MatrixBenchmark.vectorized:gc.count","avgt",1,30,"275,000000",NaN,"counts",512
"matrix.MatrixBenchmark.vectorized:gc.time","avgt",1,30,"368,000000",NaN,"ms",512
"matrix.MatrixBenchmark.vectorized","avgt",1,30,"552,026493","6,787245","ms/op",1024
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate","avgt",1,30,"29,063624","0,333592","MB/sec",1024
"matrix.MatrixBenchmark.vectorized:gc.alloc.rate.norm","avgt",1,30,"16818575,137714","6,397378","B/op",1024
"matrix.MatrixBenchmark.vectorized:gc.count","avgt",1,30,"53,000000",NaN,"counts",1024
"matrix.MatrixBenchmark.vectorized:gc.time","avgt",1,30,"74,000000",NaN,"ms",1024
